title,company,ratings,reviews,years,location,days,salary,skills,key_skills
Data Analyst with MDM,,,,7-10,"Hyderabad, Pune, Gurugram",7,Not disclosed,MDMSDLCRESTful APIsmAgile scrumSOAP UIJSONSTLCSQL,"DL,SQL"
Data Analyst with MDM,,,,7-10,"Hybrid - Hyderabad, Pune, Gurugram",7,Not disclosed,SOAP UIMaster Data ManagementRESTful APIsmAgile scrumMDMJSONSTLCSDLC,"Data Management,DL"
Data Scientist - Image Recognition / Machine Learning,Carbynetech India Pvt Ltd,4.3,27,5-10,Hyderabad,5,Not disclosed,Data ScienceJavaNLTKRElasticsearchELKScalaImage Recognition,"Data Science,Java,aI"
Data Scientist - Machine Learning/APICS,CARBYNETECH,4.3,27,3-8 ,Hyderabad,3,Not disclosed,Machine LearningData ScienceRAPICSNLPArtificial IntelligenceData ManagementPython,"Machine Learning,Data Science,NLP,Artificial Intelligence,Data Management,Python"
Data Scientist - Machine Learning / APICS,CARBYNETECH,4.3,27,3-8 ,Hyderabad,3,Not disclosed,Machine LearningData ScienceRNLPNeural networksArtificial IntelligenceDeep LearningPython,"Machine Learning,Data Science,NLP,Neural networks,Artificial Intelligence,Deep Learning,Python"
Data Scientist - Azure Data Factory/NLP Pipeline,CARBYNETECH,4.3,27,2-7 ,Hyderabad,2,Not disclosed,Azure Data FactoryData ScienceNLP PipelineCI/CD PipelineData ScientistData ManagementTime Series ForecastingNeural Networks,"Azure,Data Science,NLP,Data Management,Neural Networks"
Data Scientist - Image Recognition/Machine Learning,CARBYNETECH,4.3,27,5-10,Hyderabad,5,Not disclosed,Data ScienceNLPData ScientistTime Series AnalysisArtificial IntelligenceData ManagementImage RecognitionDistributed Computing,"Data Science,NLP,Time Series Analysis,Artificial Intelligence,Data Management"
Data Scientist - Azure Data Factory/NLP Pipeline,CARBYNETECH,4.3,27,2-7 ,Hyderabad,2,Not disclosed,Azure Data FactoryData ScienceNLP PipelineNLPCI/CD PipelineData ScientistData ManagementTime Series Forecasting,"Azure,Data Science,NLP,NLP,Data Management"
Senior Data Scientist - NLP,Digit Insurance,3.9,762,5-8 ,"Hyderabad, Pune, Bengaluru",5,Not disclosed,NLPNatural Language ProcessingLLMData ScienceAIProcessArtificial IntelligenceSenior,"NLP,LLM,Data Science,AI,Artificial Intelligence"
Analytics Manager,Aryng,4.5,3,5-20,Hyderabad,5,Not disclosed,SANOperations researchUsageSenior ExecutiveConsultingHypothesis TestingBusiness strategyBusiness intelligence,
Data Modeler Data Engineering,Exusia,4.1,204,2-4 ,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",2,Not disclosed,business intelligence reportingdata analysisdata modelingdata processingmicrosoft azuredata mappingdata profilingcommunication skills,"data analysis,data processing,azure"
Senior Data Scientist Computer Vision,,,,3-7 ,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",3,Not disclosed,deep learning frameworkstensorflowpythongcpcomputer visionpytorchprogrammingresearch,"deep learning,tensorflow,python"
Senior Risk Analytics Consultant,Wells Fargo,4.0,5650,5-9 ,Hyderabad,5,Not disclosed,Risk analyticsData modelingAnalyticalReconciliationOracleRisk managementEconometricsForecasting,
AI Engineer,Aptagrim Consulting,2.9,7,1-4 ,Hyderabad,1,Not disclosed,Artificial IntelligenceDeeplearningNatural Language ProcessingStyleGANMachine LearningPytorchmodel validationGenerative Adversarial Networks,"Artificial Intelligence,Machine Learning"
Data Scientist,CBRE,4.2,3515,4-8 ,Hybrid - Hyderabad,4,Not disclosed,Power BidataMachine Learning ImplementationsSQLMachineBiMachine learning,"Power Bi,Machine Learning,SQL,Machine learning"
Machine Learning Engineer (GCP+Python),Tiger Analytics,3.6,536,3-7 ,"Hybrid - Hyderabad, Chennai, Bengaluru",3,Not disclosed,data engineerPythonPysparkGCPGoogle Cloud PlatformsMachineCloud PlatformsData Engineering,"data engineer,Python,Pyspark,Data Engineer"
Machine Learning Engineer,Data Economy,4.4,44,2-5 ,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",2,Not disclosed,Prototypedata scienceCloud ServicesCloudMachine learningdata visualizationStakeholder managementAWS,"data science,Cloud Services,Machine learning,visualization"
Data Scientist,,,,5-9 ,"Mumbai, Pune, Bengaluru",5,Not disclosed,Data ScienceAzure MLGen AIRcloud servicesML modelsmachine learningPython,"Data Science,Azure,ML,Gen AI,cloud services,ML,machine learning,Python"
Sr. Data Scientist,Minfy,3.0,62,5-10,Hyderabad,5,Not disclosed,Data analysisdata scienceSASAerospaceConsultingPredictive modelingAnalyticsSQL,"Data analysis,data science,SAS,SQL"
Data Scientist,Agilite Global Solutions,4.0,7,5-10,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",5,Not disclosed,Data analysisUsageGITdata scienceData modelingdata securityMachine learningTroubleshooting,"Data analysis,data science,Machine learning"
Data Analyst,,,,1-3 ,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",1,Not disclosed,Data analysisArtificial IntelligenceMachine learningMechanicalData analyticsData AnalystIntelligenceMachine,"Data analysis,Artificial Intelligence,Machine learning,Data analytics"
Data Scientist,Vizlogic Digital Solutions Pvt Ltd,4.8,34,3-5 ,"Hybrid - Gurugram, Mumbai (All Areas)",3,6-12 Lacs PA,Data ScienceData MiningData VisualizationData WerehousingAzure Data FactoryPower BiStorytellingAzure Databricks,"Data Science,Data Mining,Visualization,Azure,Power Bi,Azure"
Ml Engineer,,,,3-7 ,Bengaluru,3,25-40 Lacs PA,generative aiData ScienceTensorflowHuggingfaceconversational aimodel trainingNatural Language ProcessingLLM,"ai,Data Science,Tensorflow,ai,ai,LLM"
Data Scientist,,,,4-9 ,Remote,4,6-16 Lacs PA,Data ValidationMachine LearningSQLData SciencePythonPredictive ModelingPysparkData Wrangling,"Machine Learning,SQL,Data Science,Python,Pyspark"
Data Scientist,,,,4-9 ,"Gandhinagar, Ahmedabad, Vadodara",4,20-35 Lacs PA,Data SciencePredictive ModelingPysparkAmazon Ec2Logistic RegressionNatural Language ProcessingCredit Risk ModellingMachine Learning,"Data Science,Pyspark,Machine Learning"
Data Scientist / Senior Data Scientist,Five Exceptions Software Solutions,4.5,19,6-11,Hyderabad,6,Not disclosed,Computer scienceData analysisdata scienceData modelingAnalyticalFocusMachine learningmodel development,"Data analysis,data science,Machine learning"
Lead Data Scientist,S&P Global Market Intelligence,4.2,2295,4-8 ,"Hyderabad, Gurugram",4,Not disclosed,data sciencedeep learningstatistical analysismachine learningPythonScienceStatisticsMachine,"data science,deep learning,statistical analysis,machine learning,Python,Statistics"
Senior Data Scientist,S&P Global Market Intelligence,4.2,2295,5-8 ,"Hyderabad, Gurugram, Bengaluru",5,Not disclosed,Data ScienceML EngineeringGen AIGitAWS Cloud StackMarket IntelligenceSQLPython,"Data Science,ML,Gen AI,SQL,Python"
Data Scientist - Machine Learning / APICS,Carbynetech India Pvt Ltd,4.3,27,3-8 ,Hyderabad,3,Not disclosed,Machine LearningData ScienceRAPICSNLPArtificial IntelligenceData ManagementPython,"Machine Learning,Data Science,NLP,Artificial Intelligence,Data Management,Python"
Generative AI Engineer,Innova Solutions,3.6,720,5-10,Hybrid - Hyderabad,5,15-25 Lacs PA,Data Sciencegenerative AIDeep LearningPythonDataScienceArtificial Intelligence,"Data Science,AI,Deep Learning,Python,Artificial Intelligence"
Data Analyst,The Hackett Group,3.5,88,1-3 ,Hyderabad,1,5-7 Lacs PA,Exploratory Data AnalysisAdvanced ExcelPower Point PresentationStatisticsCorrelationRegressionSPSSData Analytics,"Data Analysis,Excel,Statistics,Data Analytics"
Lead Data Scientist,Binance,3.5,17,6-11,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",6,Not disclosed,Product managementComputer scienceComputer visionCareer developmentData analysisdata scienceMachine learningApplication development,"Data analysis,data science,Machine learning"
Data Scientist,Intense Technologies,4.1,125,3-7 ,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",3,Not disclosed,Computer scienceTrainingdata scienceMachine learningProgrammingNatural language processingResearchPython,"ai,data science,Machine learning,Python"
Data Scientist,,,,5-8 ,"Hyderabad, Coimbatore, Bengaluru, comibatore",5,Not disclosed,GenesysData Sciencesoftware developmentDockerversion controlCI/CDRAGML models,"Data Science,ML"
Sr Data Scientist,,,,0-20,"Hyderabad, Bengaluru",1,0-34 Lacs PA,Aws CloudPythonPysparkMachine LearningPython DevelopmentKerasData Sciencedata scientist,"Python,Pyspark,Machine Learning,Python,Data Science"
Senior Data Scientist,Databeat,4.3,11,5-10,Hyderabad(Rai Durg),5,Not disclosed,Data ScienceDeep LearningScikit-LearnSQLPythonLlpRHadoop,"Data Science,Deep Learning,SQL,Python"
Senior Data Analyst,Feuji Software Solutions,2.4,37,5-9 ,Hyderabad,5,Not disclosed,Power BITableauData AnalyticsPythonSAQlBiAnalyticsSenior,"Power BI,Data Analytics,Python"
Senior Data Scientist,,,,5-8 ,"Hyderabad, Chennai, Bengaluru",5,25-40 Lacs PA,Data ScienceArtificial IntelligenceNatural Language ProcessingModel BuildingMachine LearningPredictive ModelingDecision TreeMl Algorithms,"Data Science,Artificial Intelligence,Machine Learning,Ml"
AI / ML Engineer,Accenture,4.0,49777,0-14,Hyderabad,1,Not disclosed,algorithmsartificial intelligencedeep learningrmlimage processingchatbotdata analysis,"artificial intelligence,deep learning,ml,data analysis"
Data Scientist,,,,6-11,Hyderabad,6,Not disclosed,Model DevelopmentData ScienceAzure Machine LearningPythonGenerative AIbig data managementtime seriesML modelling,"Data Science,Azure,Machine Learning,Python,AI,big data,ML"
AI / ML Engineer,Accenture,4.0,49777,8-10,Hyderabad,8,Not disclosed,pythonmachine learningdeep learningetlmlimage processingchatbotc++,"python,machine learning,deep learning,ml,c++"
Senior Data Scientist - AI/ML,Medtronic,4.1,484,8-12,Hyderabad,8,Not disclosed,Computer scienceComputer visionData analysisImage processingdata scienceMachine learningData collectionHealthcare,"Data analysis,data science,Machine learning,Data collection"
Data Scientist,EA Games (Electronic Arts),4.3,173,3-8 ,Hyderabad,3,Not disclosed,Data ScienceNlpSoftware EngineeringData ScientistNatural Language ProcessingComputer ScienceMachine LearningDeep Learning,"Data Science,Nlp,Machine Learning,Deep Learning"
Senior Data Scientist,Deliveroo,3.4,17,6-9 ,Hyderabad,6,Not disclosed,Tradedata scienceAnalyticalMachine learningEquityManager TechnologyHealthcareManagement,"data science,Machine learning"
Data Scientist,,,,5-10,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",5,Not disclosed,Data analysisUsageGITdata scienceData modelingdata securityMachine learningTroubleshooting,"Data analysis,data science,Machine learning"
Data Scientist,Fusion Plus Solutions,3.0,11,3-6 ,Hyderabad,3,Not disclosed,deep learningdata sciencedevopsMachine learningCloudData collectionInfrastructureDeployment,"deep learning,data science,Machine learning,Data collection"
Data Engineer & Data Scientist,Fusion Plus Solutions,3.0,11,2-6 ,Hyderabad,2,Not disclosed,deep learningdata sciencedevopsMachine learningData collectionInfrastructureDeploymentBudgeting,"deep learning,data science,Machine learning,Data collection"
Senior Data Scientist,,,,3-9 ,Hyderabad,3,Not disclosed,TrainingData processingResearchPythonTestingProcessSeniorProcessing,"ai,Data processing,Python"
Data Scientist IV - Python/LLM,Sadup Soft,4.6,24,6-8 ,Hyderabad,6,Not disclosed,Data ScienceBigQueryData ScientistData ManagementJupyterLLMPythonScience,"Data Science,Data Management,LLM,Python"
AI Engineer,,,,5-7 ,Hyderabad,5,Not disclosed,Artificial intelligenceGCP MlopsVertex AIData scienceAI EngineerAnalyticsPythonSQL,"Artificial intelligence,Ml,AI,Data science,AI,Python,SQL"
Data Analyst,Saven Technologies,3.3,32,3-5 ,Hyderabad,3,Not disclosed,RCARoot cause analysisAnalyticalSocial mediaData analyticsdata visualizationAnalyticsSQL,"Data analytics,visualization,SQL"
Deputy Manager - QFS Data Analysis & Reporting Representatives,Pepsi Foods,4.1,2308,0-2 ,Hyderabad,0,Not disclosed,Product qualityData analysisAutomationData managementTechnical writingBusiness analyticsconsumer goodsSQL,"Data analysis,Automation,Data management,SQL"
Senior Manager - ESM Experience Analytics & Insights SME,Pepsi Foods,4.1,2308,3-10,Hyderabad,3,Not disclosed,Service managementProcess designChange managementContent managementHelpdeskIVRSOCConsulting,
Data Scientist with LLM Background,Rarr Technologies,4.1,10,2-5 ,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",2,Not disclosed,Statistical analysisdata scienceMachine learningProgrammingNatural language processingResearchStatisticsPython,"Statistical analysis,data science,Machine learning,Statistics,Python"
Data Informatics Analyst - ETL/Python,Quadrant Technologies,3.9,135,3-7 ,"Hyderabad, Bengaluru",3,Not disclosed,Data Informatics AnalysisOneDrivePower BIPower AppsPower AutomateSharePointETLPython,"Power BI,Python"
AI/ML Engineer,Harsco,3.8,168,3-7 ,Hyderabad,3,Not disclosed,cnnrtensorflowpythonsoftware developmentpytorchcafmachine learning,"tensorflow,python,machine learning"
Associate Analyst Data Solutions,Altus Group,4.1,17,1-3 ,Hyderabad,1,Not disclosed,economicsquantitativereal estateargusvlookupmicrosoft office suiteresearchfinance,
Data Governance Analyst,Invesco,3.9,334,1-3 ,Hyderabad,1,Not disclosed,Career developmentData analysisManager Quality AssuranceData managementHTMLData qualityAsset managementInformatica,"Data analysis,Data management,ML"
Data Governance Analyst,Wells Fargo,4.0,5650,3-7 ,Hyderabad,3,Not disclosed,remediationmetadataData managementBusiness analysisProject managementdata governanceData qualitydata mapping,"Data management,Business analysis"
"Computer Vision Engineer (H1B, B1, OPT Visa holder)",Techolution,3.2,127,2-7 ,"Hyderabad, United States (USA)",2,Not disclosed,Computer VisionTensorflowImage ProcessingNeural NetworksDeep LearningNetworkingComputerH1b,"Tensorflow,Neural Networks,Deep Learning"
Ml Engineer,,,,2-4 ,Hybrid - Hyderabad,2,Not disclosed,Machine LearningMicroservicesTensorflowdocker containersNoSQL databasesSVMDeepMl Algorithms,"Machine Learning,Tensorflow,ai,NoSQL,Ml"
Data Scientist,Response Informatics,3.7,22,4-7 ,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",4,Not disclosed,TrainingData analysisdata scienceMachine learningInfrastructureProgrammingmodel developmentDeployment,"ai,Data analysis,data science,Machine learning"
Senior Data Scientist,Response Informatics,3.7,22,6-11,Hyderabad,6,Not disclosed,Product pricingdata scienceMachine learningHealthcareHealth managementActuarialSQLPython,"data science,Machine learning,SQL,Python"
Analytics Manager,,,,5-10,Remote,5,7-17 Lacs PA,Business IntelligenceData VisualizationData AnalyticsPythonMlVertexGCPScripting Languages,"Visualization,Data Analytics,Python,Ml"
ML Engineer(Machine Learning),,,,5-7 ,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",5,Not disclosed,Computer scienceTrainingdata scienceScalabilityMachine learningAgileProgrammingDeployment,"ai,data science,Machine learning"
Data Scientist,Heaps Health Solutions India,3.8,15,1-4 ,"Hyderabad, Bengaluru",1,Not disclosed,Data analysisVersion controlGITdata scienceGCPAnalyticalMachine learningData mining,"Data analysis,data science,Machine learning,Data mining"
Trade DATA Analyst - FMCG MNC - Delhi,,,,5-9 ,New Delhi,5,7-10 Lacs PA,dataData ManagementData AnalysisData ExtractionData CollectionData Analyticsdata analystFood Products,"Data Management,Data Analysis,Data Collection,Data Analytics"
Trade DATA Analyst - FMCG MNC,,,,5-9 ,New Delhi,5,7-10 Lacs PA,dataData ManagementData AnalysisData ExtractionData CollectionData Analyticsdata analystFood Products,"Data Management,Data Analysis,Data Collection,Data Analytics"
Data & Analytics Specialist (Front-End),,,,5-7 ,Hyderabad,5,Not disclosed,ProcurementSupply chainComputer scienceSAPNetworkingAnalyticalHealthcarecommercial finance,ai
Data Scientist,Torcai Digital Media,3.4,18,2-5 ,"Dehradun, Hyderabad, Gurugram",2,Not disclosed,Data analysisBiddingLinuxdata scienceShell scriptingMentorCalculusAnalysis,"Data analysis,data science"
Data Scientist - Mortgage Finance,Finacplus,4.1,60,3-8 ,Hyderabad,3,Not disclosed,Business processComputer scienceBack officeData analyticsdata visualizationData miningPowerpointMacros,"Data analytics,visualization,Data mining"
Data Scientist,Response Informatics,3.7,22,1-5 ,Hyderabad,1,Not disclosed,Data analysisdata scienceClinical operationsMachine learningHealthcareWellnessHealth managementSQL,"Data analysis,data science,Machine learning,SQL"
"Senio Manager, Data and Analytics",PVH,4.3,63,7-10,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",7,Not disclosed,Supply chainData analysisProcess improvementBusiness analyticsAnalyticalData miningContinuous improvementForecasting,"ai,Data analysis,Data mining"
"Manager, Data Analytics",,,,3-7 ,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",3,Not disclosed,Career developmentLogistic regressionData analysisAnalyticalMachine learningData miningEconometricsOperations,"Data analysis,Machine learning,Data mining"
Data Scientist,,,,4-9 ,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",4,Not disclosed,Computer scienceOperations researchdata scienceGCPMachine learningSAGEData miningAWS,"data science,Machine learning,Data mining"
Lead Data Scientist,,,,3-7 ,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",3,Not disclosed,PilotPrototypeSimulationdata scienceMachine learningMentorManagementOperations,"data science,Machine learning"
Data Scientist,MAD Works,3.5,5,2-5 ,Hyderabad,2,Not disclosed,algorithmspythonnatural language processingneural networkspredictive analyticsmachine learningartificial intelligencetext analytics,"python,neural networks,machine learning,artificial intelligence"
Jr.Data Scientist / ML Engineer,Appstek Information Services,4.2,21,2-6 ,Hyderabad,2,Not disclosed,Statistical modelingMonitoring toolsdata sciencedevopsMachine learningApplication developmentUnit testingData mining,"data science,Machine learning,Data mining"
ML Engineer - Reinforcement,Appstek Information Services,4.2,21,3-7 ,Hyderabad,3,Not disclosed,Monitoring toolsdata sciencedevopsMachine learningApplication developmentUnit testingResearchData mining,"data science,Machine learning,Data mining"
Data Analyst,Cafu,3.4,5,1-3 ,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",1,Not disclosed,Computer scienceExcelAnalyticalData analyticsData AnalystBusiness intelligencePowerpointPredictive analytics,"Excel,Data analytics"
Principal Data Scientist,Response Informatics,3.7,22,2-15,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",1,Not disclosed,data sciencePharmaMachine learningHealthcaremicrosoftbig dataAnalyticsPython,"data science,Machine learning,big data,Python"
Lead Data Scientist,Response Informatics,3.7,22,3-8 ,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",3,Not disclosed,Data analysisPrototypedata scienceAnalyticalMachine learningSCALAHypothesis TestingDeployment,"Data analysis,data science,Machine learning"
Senior Data Scientist,Kaar Technologies,3.2,216,4-9 ,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",4,Not disclosed,pythondata analysismodelingpredictive analyticspredictiveanomaly detectiondata integritymachine learning,"python,data analysis,machine learning"
"Lead Product Manager, Data & Analytics",Zenoti,2.9,133,0-13,Hyderabad,1,Not disclosed,Computer scienceArchitecturedata securityAnalyticaldata governanceCustomer retentionGeneticsData quality,
Data Scientist,Response Informatics,3.7,22,8-9 ,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",8,Not disclosed,Computer visiondeep learningdata scienceFocusMachine learningProgrammingNatural language processingPython,"deep learning,data science,Machine learning,Python"
Lead Data Scientist With MLOps,Response Informatics,3.7,22,3-8 ,Hyderabad,3,Not disclosed,orchestrationdata sciencedata securitydevopsMachine learningInfrastructuremodel developmentDeployment,"data science,Machine learning"
Data Scientist-Deep Learning,Response Informatics,3.7,22,8-9 ,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",8,Not disclosed,Computer visiondeep learningdata scienceFocusMachine learningProgrammingNatural language processingPython,"deep learning,data science,Machine learning,Python"
Sr Machine Learning Engineer,Amgen Inc,5.0,4,4-9 ,Hyderabad,4,Not disclosed,Machine Learningcontinuous integrationkubernetespythonhypothesis testingscikit-learnpresentation skillsmicrosoft azure,"Machine Learning,python,azure"
Data & Analytics Specialist,Roche Diagnostics,3.7,75,2-5 ,Hyderabad,2,Not disclosed,ProcurementSupply chainAutomationSAPNetworkingAnalyticalHealthcareContinuous improvement,"ai,Automation"
Sr Data Scientist,Response Informatics,3.7,22,3-7 ,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",3,Not disclosed,pythonnatural language processingneural networkspredictive analyticsmachine learningartificial intelligencetext analyticsdeep learning,"python,neural networks,machine learning,artificial intelligence,deep learning"
Data Scientist-Deep Learning/Transformer,Response Informatics,3.7,22,8-10,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",8,Not disclosed,image processingpythonnatural language processingscikit-learnneural networksmachine learningartificial intelligencetext analytics,"python,neural networks,machine learning,artificial intelligence"
Data Scientist,Pepsico,4.1,2308,8-12,Hybrid - Hyderabad,8,Not disclosed,Data SciencePredictive ModelingpythonpysparkAzure DatabricksDemand ForecastingMachine LearningSQL,"Data Science,python,pyspark,Azure,Machine Learning,SQL"
ML Engineer with Reinforcement,Appstek Solutions,4.0,31,3-8 ,Hyderabad,3,Not disclosed,Monitoring toolsdata scienceMachine learningApplication developmentUnit testingResearchData miningISO IEC,"data science,Machine learning,Data mining"
Jr . Data Scientist / ML Engineer,Appstek Solutions,4.0,31,2-7 ,Hyderabad,2,Not disclosed,Statistical modelingMonitoring toolsdata scienceMachine learningApplication developmentUnit testingData miningISO IEC,"data science,Machine learning,Data mining"
ML Engineer,Appstek Information Services,4.2,21,3-8 ,Hyderabad,3,Not disclosed,Monitoring toolsdata scienceMachine learningApplication developmentUnit testingResearchData miningISO IEC,"data science,Machine learning,Data mining"
Jr . Data Scientist / ML Engineer,Appstek Information Services,4.2,21,2-7 ,Hyderabad,2,Not disclosed,Statistical modelingMonitoring toolsdata scienceMachine learningApplication developmentUnit testingData miningISO IEC,"data science,Machine learning,Data mining"
Data Scientist,Veniso Solutions,4.5,3,2-7 ,Hyderabad,2,Not disclosed,Operations researchtableaudata scienceAnalyticalMachine learningHadoopSCALAData Analyst,"data science,Machine learning"
Data Analyst (Insurance Company) - For Only Kolkata based Candidates,,,,1-3 ,Kolkata(Salt Lake),1,7-10 Lacs PA,Data AnalyticsPower BiData AnalysisAdvanced ExcelAWSSQLPythonAnalysis,"Data Analytics,Power Bi,Data Analysis,Excel,SQL,Python"
Lead Data Scientist,"Ryan, LLC.",4.5,365,7-12,Hyderabad,7,Not disclosed,BackendLinuxdata scienceCloudAgileTechnical leadershipApplication developmentWindows,"dL,data science"
Data Scientist,Rarr Technologies,4.1,10,5-10,Hyderabad,5,Not disclosed,GISdata scienceProgrammingDeploymentTransformersPythonScienceProgram,"data science,Python"
Machine Learning Developer,Tanla Platforms,3.3,93,4-7 ,Hyderabad,4,Not disclosed,AIMLTensorflowData ScienceArtificial IntelligenceMachine LearningMlMachineIntelligence,"AI,ML,Tensorflow,Data Science,Artificial Intelligence,Machine Learning,Ml"
Data Science - Automation (Document Conversion and OCR),Blucognition,3.4,75,4-9 ,Remote,4,Not disclosed,data extractiondocument conversionOCRObject Detectiontext extractionPythonSQLData Science,"Python,SQL,Data Science"
Data science || WFO || GenAI/ LLM/Langchain || WFO || Indore,,,,2-7 ,Indore,2,10-15 Lacs PA,Natural Language Processingraggen AIScienceGenArtificial IntelligenceData ScienceProcess,"gen AI,Artificial Intelligence,Data Science"
Required Subject Matter Expert (Data Science) For Night Shift,,,,2-7 ,Remote,2,1-5 Lacs PA,Data ScienceGoogle SheetsTableauPythonSQLDataSubjectGoogle,"Data Science,Python,SQL"
Data Science Analyst (Associate),Infogain,3.6,983,2-6 ,"Hybrid - Gurugram, Bengaluru",2,5-13 Lacs PA,Data ScienceGenAIGenAI FundamentalsPythonScienceFundamentalsData,"Data Science,AI,AI,Python"
"Sr, Data Analyst",PGIMER,4.2,109,5-10,Hyderabad,5,Not disclosed,UsageSenior Data AnalystData qualitymarket dataData analyticsdata visualizationdata mappingSubject Matter Expert,"Data analytics,visualization"
Data Analyst,Fusion Plus Solutions,3.0,11,2-4 ,Hyderabad,2,Not disclosed,Business processService taxBillingData qualityData AnalystData analyticsData miningSTM,"Data analytics,Data mining"
Data Science Associate,ZS,3.4,1901,1-3 ,"Hybrid - Pune, Gurugram, Bengaluru",1,7.5-17.5 Lacs PA,Data SciencePredictive ModelingLogistic Regressiongenerative AIArtificial IntelligenceNatural Language ProcessingNeural NetworksMachine Learning,"Data Science,AI,Artificial Intelligence,Neural Networks,Machine Learning"
Data Analyst Intern,Cloud Counselage,3.9,20,0-1 ,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",0,Not disclosed,SupervisorCVSTechnical managementCloudHTTPData analyticsData AnalystApplication software,Data analytics
Data Scientist,Accolite Software India Pvt Ltd,3.4,666,3-6 ,"Hyderabad, Bengaluru",3,Not disclosed,Machine learningbusiness rulesData analyticsdata visualizationResearchSQLPythonRules,"Machine learning,Data analytics,visualization,SQL,Python"
Data Science,Neal Analytics,3.5,24,5-11,"Mumbai, Pune, Chennai, Gurugram, Bengaluru",5,Not disclosed,Team managementStatistical analysisClient relationship managementProject managementMachine learningStakeholder managementAnalyticsSQL,"Statistical analysis,Machine learning,SQL"
Data Analyst,Response Informatics,3.7,22,5-10,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",5,Not disclosed,MicrostrategyRDBMSData analyticsData Analystdata visualizationSQLData analysisData,"Data analytics,visualization,SQL,Data analysis"
Data Analyst,Nest Education,3.2,2,1-3 ,Hyderabad,1,Not disclosed,metadatapythondata analysisdata managementdata analyticsconfigurationdata miningarticulate,"python,data analysis,data management,data analytics,data mining"
Data Scientist,,,,3-6 ,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",3,Not disclosed,algorithmspythonproject managementmodelingdata analysisdata analyticspreventive maintenancebusiness solutions,"python,data analysis,data analytics,ai"
Data Analyst Advanced Analytics,Perceptive Analytics,4.2,8,0-3 ,Hyderabad,0,Not disclosed,advanced analyticsTalent acquisitionAnalyticalArtificial IntelligenceMachine learningData AnalystData analyticsInternship,"Artificial Intelligence,Machine learning,Data analytics"
Data Analyst IT and consulting,,,,6-11,"Pune, Chennai, Bangalore/ Bengaluru",6,18-25 Lacs PA,Data ExtractionData ScienceData AnalyticsData ValidationData EnrichmentTop ManagementBranch OperationsBig Data,"Data Science,Data Analytics,Big Data"
Data Engineer,Accion Labs,3.6,389,5-8 ,"Hybrid - Noida, Bengaluru, Mumbai (All Areas)",5,Not disclosed,Data Engineeringdata engineerETLPythonSQLData ScienceGCPAzure Cloud,"Data Engineer,data engineer,Python,SQL,Data Science,Azure"
Staff Data Scientist,Bazaarvoice,4.1,5,0-12,Bengaluru,1,Not disclosed,Data ScienceScaladecision treesneural networksSVMData Analyticsstatistical analysislogistic regression,"Data Science,neural networks,Data Analytics,statistical analysis"
Data Engineer,Wipro,3.8,44880,1-5 ,Bhubaneswar,1,Not disclosed,team managementmachine learningdata engineeringdeep learningcognitivepythoncnndata analytics,"machine learning,data engineer,deep learning,python,data analytics"
Business Function Implement Practitioner,Accenture,4.0,49777,5-10,Bengaluru,5,Not disclosed,machine learningdata visualizationmachine learning algorithmsstatisticsdata mungingpythondata analysisdata analytics,"machine learning,visualization,machine learning,statistics,python,data analysis,data analytics"
