title,company,ratings,reviews,years,location,days,salary,skills,key_skills
Consultant Data Science,Aspect Ratio,3.8,23,3-6 ,Pune,3,Not disclosed,excelalgorithmsstoryboardingpythonrdata sciencecommunication skillssql,"excel,python,data science,sql"
Data Science Analyst (Standard),Infogain,3.6,983,4-6 ,Gurugram,4,Not disclosed,tableaudata scienceData modelingMachine learningProgrammingpower biStatistical softwaredata visualization,"data science,Machine learning,power bi,visualization"
Data Science Lead,TELUS International,3.8,993,8-13,Hybrid - Noida,8,Not disclosed,Data ScienceTensorflowComputer VisionDeep LearningScikit-LearnNatural Language ProcessingNeural NetworksMachine Learning,"Data Science,Tensorflow,Deep Learning,Neural Networks,Machine Learning"
Lead I - Data Science,UST,3.8,3864,5-7 ,Pune,5,Not disclosed,data cleansingData analysisExcelSASCodingAnalyticalData qualityData mining,"Data analysis,Excel,SAS,Data mining"
Data Science Engineer,,,,5-10,Hyderabad,5,10-20 Lacs PA,Data ScienceData AnalyticsMachine LearningMachineDataScienceAnalytics,"Data Science,Data Analytics,Machine Learning"
Analytics Data science and IOT Lead,Hexaware Technologies,3.6,5154,5-9 ,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",5,Not disclosed,Computer visionVersion controlGITNoSQLMachine learningData collectionNatural language processingAnalytics,"NoSQL,Machine learning,Data collection"
Analytics Data science and IOT Lead,Hexaware Technologies,3.6,5154,5-9 ,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",5,Not disclosed,deep learningdata scienceArchitectureCloudAnalyticsPythonIOTData,"deep learning,data science,Python"
Staff Engineer - Data Science,Altimetrik,3.8,903,6-9 ,Hyderabad,6,Not disclosed,data scienceProject managementTeam LeaderTroubleshootingCost analysisAWSMonitoringPython,"data science,Python"
Data Science Senior Analyst,Pepsico,4.1,2308,8-10,Hyderabad,8,Not disclosed,Data ScienceADFPyspark developmentConfluenceData bricksAgile methodologyJiraDeep Learning,"Data Science,Pyspark,Deep Learning"
Manager Data Science,Novartis,4.1,1448,4-7 ,Hyderabad,4,Not disclosed,Digital mediaProject managementAnalyticalBusiness analyticsResource allocationBrand awarenessProject planningDigital marketing,
Data Science Virtual(Zoom) interviews For Senior/Lead on 14th Sep-Sat,Globaldata,3.6,440,4-8 ,Hybrid - Hyderabad(Kondapur),4,Not disclosed,Data SciencePytorchNatural Language ProcessingMachine LearningDeep LearningAi AlgorithmsSeniorMachine,"Data Science,Machine Learning,Deep Learning,Ai"
Data Science Specialist,Deloitte,3.9,15927,6-10,Bengaluru,6,Not disclosed,Data Sciencedata analysismachine learning modelsAI modelsMachineArtificial IntelligenceDataScience,"Data Science,data analysis,machine learning,AI,Artificial Intelligence"
Engineer III Cslt - Data Science,Verizon,4.1,1283,4-6 ,Chennai,4,Not disclosed,Data ScienceJavaMATLABMachine LearningStatisticsNumpyRPandas,"Data Science,Java,Machine Learning,Statistics,Numpy,Pandas"
Developer: Generative AI and Data Science,Nimbusnext,3.0,11,4-9 ,Pune,4,Not disclosed,Product managementData analysisTeam managementNoSQLPDFDjangoMachine learningAnalytics,"Data analysis,NoSQL,Machine learning"
Data Science Analyst (Senior),Infogain,3.6,983,6-8 ,Gurugram,6,Not disclosed,HospitalityOperations researchWeb analyticsAnalyticalInformation retrievalEconometricsForecastingSQL,SQL
Unit Manager - Payments - Data Science/Senior Unit Manager,Bajaj Finserv Ltd.,3.5,153,2-4 ,Pune,2,Not disclosed,Data analysisManager Quality AssuranceData managementCodingMachine learningData qualityMongoDBSQL,"Data analysis,Data management,Machine learning,SQL"
Sr Analyst- Data Science and Analytics-MRM,Transunion,3.9,340,4-9 ,"Pune, Chennai",4,Not disclosed,Operations researchLinuxAnalyticalConsultingManager Quality ControlRisk managementBusiness intelligenceFinancial services,
Data Science Trainer,Digipodium,3.9,10,0-4 ,Lucknow,0,1-3 Lacs PA,Artificial IntelligenceData ScienceImage ProcessingNatural Language ProcessingNeural NetworksPython DevelopmentComputer VisionMachine Learning,"Artificial Intelligence,Data Science,Neural Networks,Python,Machine Learning"
Data Science Developer,Crosslynx Technologies Services,4.0,20,0-1 ,Noida,0,4.5-5.5 Lacs PA,Data ScienceC#C Plus PlusTensorflowPytorchC++OpencvNumpy,"Data Science,Tensorflow,C++,Numpy"
Data & Analytics Specialist(Data Science),Roche Information Solutions,4.1,11,9-12,Hybrid - Pune,9,Not disclosed,AzureAWSNLPSnowflakeTransformersBertmachine learningDeep Learning,"Azure,NLP,machine learning,Deep Learning"
Data Science Engineer,Global Pharma Tek,3.1,23,1-4 ,Bengaluru,1,Not disclosed,pythonartificial intelligencedeep learninggendata sciencealgorithmsnatural language processingneural networks,"python,artificial intelligence,deep learning,data science,neural networks"
Senior Lead Data Science Consultant,Wells Fargo,4.0,5650,6-10,Bengaluru,6,Not disclosed,remediationadvanced analyticsdata scienceAnalyticalLeadBusiness solutionsOperationsMonitoring,data science
Data Science Associate Consultant,ZS,3.4,1901,3-5 ,"Hybrid - Pune, Gurugram, Bengaluru",3,18-25 Lacs PA,Data ScienceComputer VisionMachine LearningTensorflowCnnArtificial IntelligenceNatural Language ProcessingNeural Networks,"Data Science,Machine Learning,Tensorflow,Artificial Intelligence,Neural Networks"
Data Science Lead,EXL,3.8,6354,8-13,Hybrid - Gurugram,8,Not disclosed,Data ScienceNLPMachine LearningScienceNatural language processingMachineData,"Data Science,NLP,Machine Learning"
Data Science Specialist,,,,2-4 ,Bengaluru,2,Not disclosed,Health insuranceadvanced analyticsDiversity and InclusionEmployee engagementMachine learningdata governanceData processingData quality,"Machine learning,Data processing"
Director - Data Science (Market Mix Modelling),,,,0-15,"Bangalore Rural, Bengaluru",1,Not disclosed,Market Mix ModellingMMMRstudioPythonSQLDataModelingDirect,"Python,SQL"
S&C Global Network - AI - Hi Tech - Data Science Consultant,Accenture,4.0,49777,4-8 ,"Kolkata, Hyderabad, Gurugram",4,Not disclosed,erppythonnatural language processingplmcrmdata analyticsai solutionsmicrosoft azure,"python,data analytics,ai,azure"
Senior Data Science Consultant For HL Marketing Analytics,Wells Fargo,4.0,5650,4-8 ,Hyderabad,4,Not disclosed,digital marketingalgorithmsadvanced analyticspythondata analysismodelingsassql,"python,data analysis,sas,sql"
Data Science Lead,,,,7-9 ,"Noida, Hyderabad, Agra",7,Not disclosed,scipypythondata analyticsnatural language processingscikit-learndata miningnltkjupyter notebook,"python,data analytics,data mining"
Data Science Analyst,,,,3-8 ,Hyderabad,3,Not disclosed,Analystdata scienceAnalyticalMachine learningProgrammingData analyticsPythonData analysis,"data science,Machine learning,Data analytics,Python,Data analysis"
Data Science Trainer,GAC Digital,3.9,4,0-11,Hyderabad,1,Not disclosed,Data ScienceAI/MLand Data Engineering.Data AnalyticsDataAnalyticsEngineeringTraining,"Data Science,AI,ML,Data Engineer,Data Analytics,ai"
Senior Engineer Consultant-Data Science,,,,4-9 ,Hybrid - Hyderabad,4,Not disclosed,Machine learning techniquesTraditional statistical techniquesCloud-based predictive modeling solutionsA/B TestingPredictive and Prescriptive modelingMulti-armed Bandit testingProject ManagementPython libraries,"Machine learning,Python"
Data Science Trainer,,,,4-5 ,Remote,4,Not disclosed,TrainingE-learningInterpersonal skillsdata scienceAnalyticalMachine learningpower bidata visualization,"ai,data science,Machine learning,power bi,visualization"
Data Science Trainer,,,,4-5 ,Remote,4,Not disclosed,TrainingE-learningInterpersonal skillsdata scienceAnalyticalMachine learningpower bidata visualization,"ai,data science,Machine learning,power bi,visualization"
Statistical Data Sciences Lead,Pfizer,4.1,1688,8-15,Chennai,8,Not disclosed,Statistical programmingCROBiotechnologySASPharmaProject managementClinical trialsManagement,SAS
Senior Lead Engineer - Data Science,Guardian life,4.1,634,2-5 ,Chennai,2,Not disclosed,algorithmsapplied mathematicspythondata analysismodelinganalyticalengineeringmachine learning,"python,data analysis,machine learning"
Data Science Analyst,Trane Technologies,4.2,188,5-10,Bengaluru,5,Not disclosed,Supply chain managementAutomationProject managementSupply chain operationsData qualitymicrosoftContinuous improvementOperations,"ai,Automation,ai"
Data Science Manager,Sixt Research And Development,3.0,40,5-10,Bengaluru,5,Not disclosed,AutomationBiddingdata scienceAnalyticalMachine learningHypothesis TestingPredictive modelingAnalytics,"Automation,data science,Machine learning"
Senior Data Science Engineer,Iris Solutions,2.1,5,3-7 ,Noida,3,Not disclosed,Computer visiondata scienceMachine learningData processingInvestment bankingInvestment managementForecastingAnalytics,"data science,Machine learning,Data processing"
Engineer - Data Science,Altimetrik,3.8,903,5-10,Bengaluru,5,Not disclosed,Automationdata scienceDeploymentAWSDataScienceEngineering,"Automation,data science"
Analyst - Data Science,Secure Meters,4.1,770,3-6 ,Udaipur,3,Not disclosed,Data analysisdata scienceArchitectureadobe creative suiteSenior AnalystMarket researchUrban designDesign,"Data analysis,data science"
Senior Business Analyst - Data Science,Saisystems Technology,2.9,44,5-10,Pune,5,5-10 Lacs PA,Data ScienceBA AnalystRPMPPower BiTableauMachine LearningPython,"Data Science,Power Bi,Machine Learning,Python"
Data Science Engineer,Cybage,3.9,1771,8-13,Pune,8,Not disclosed,Data Sciencepythonjavasasdata miningTableausqlData,"Data Science,python,java,sas,data mining,sql"
"Staff Engineer (Python, Data Science)",Nagarro,4.1,3835,7-10,Remote,7,Not disclosed,Data ScienceDeep LearningPythonDataScience,"Data Science,Deep Learning,Python"
Data Science Engineer (NLP),V2SOLUTIONS,3.6,180,6-11,Remote,6,Not disclosed,Fine TuningNLPRAGComputer VisionPytorchPrompt EngineeringNatural Language ProcessingRetrieval Augmented Generation,NLP
Data Science Solution Architect (Immediate Joiners),Tredence,3.6,380,9-14,"Hybrid - Gurugram, Chennai, Bengaluru",9,Not disclosed,Data ScienceArchitectSolution ArchitectDeploymentSolutioningSolution DesignDesignData,Data Science
Lead Data Science,Nitor,3.9,141,6-9 ,Pune,6,Not disclosed,open AI GPTPythonGenAiNLPLLMGPMScienceOpen,"AI,Python,Ai,NLP,LLM"
Senior Analyst-Data Science,,,,2-5 ,Gurugram,2,Not disclosed,Career developmentdata scienceFinanceUnderwritingMachine learningRisk managementAnalyticsFinancial services,"data science,Machine learning"
Analyst-Data Science,,,,1-3 ,Gurugram,1,Not disclosed,Career developmentdata scienceFinanceUnderwritingMachine learningRisk managementAnalyticsFinancial services,"data science,Machine learning"
Senior Analyst-Data Science,AMERICAN EXPRESS,4.2,2828,2-5 ,Gurugram,2,Not disclosed,Career developmentdata scienceFinanceUnderwritingMachine learningRisk managementAnalyticsFinancial services,"data science,Machine learning"
Analyst-Data Science,AMERICAN EXPRESS,4.2,2828,1-4 ,Gurugram,1,Not disclosed,Career developmentdata scienceFinanceUnderwritingMachine learningRisk managementAnalyticsFinancial services,"data science,Machine learning"
Manager Data Science,,,,3-7 ,Bengaluru,3,Not disclosed,Logistic regressionPerformance managementAnalyticalConsultingMachine learningPresalesInstrumentationProject delivery,Machine learning
Team Lead - Data Science,,,,7-8 ,New Delhi,7,Not disclosed,Team managementdata scienceBfsiProject managementManager TechnologyProgrammingmodel developmentDeployment,data science
Senior Analyst - Data Science,,,,1-3 ,Gurugram,1,Not disclosed,Career developmentCodingFinanceAnalyticalBusiness strategyRegression analysisData miningAnalytics,Data mining
Senior Analyst - Data Science,AMERICAN EXPRESS,4.2,2828,1-3 ,Gurugram,1,Not disclosed,Career developmentCodingFinanceAnalyticalBusiness strategyRegression analysisData miningAnalytics,Data mining
Specialist - Data Science,FIS,3.9,5144,5-12,Gurugram,5,Not disclosed,advanced analyticsdata scienceAnalyticalMachine learningCloudCustomer serviceAdobeForecasting,"data science,Machine learning"
"Generative AI Lead Engineer, Data Science",Johnson and Johnson Kenvue,4.1,33,5-6 ,Bengaluru,5,Not disclosed,Computer scienceProcess designAnalytical skillsCloud computingdeep learningdata scienceProgrammingInformation technology,"deep learning,data science"
Lead - Data Science,Equifax Credit Information Services Private Limited,3.3,147,7-9 ,Bengaluru,7,Not disclosed,Stress testingGCPMachine learningHealthcareRisk managementAnalyticsFinancial servicesMonitoring,Machine learning
Associate / Sr. Associate Manager Safety Data Sciences,Eli Lilly And Company,4.0,374,3-7 ,Bengaluru,3,Not disclosed,Business processData analysisChange managementOperational excellenceHealthcareClinical researchPharmacovigilancemicrosoft,"Data analysis,excel"
Data Science Consultant,Wells Fargo,4.0,5650,3-6 ,Bengaluru,3,Not disclosed,Computer scienceremediationData analysisUsageAnalyticalOperationsFinancial servicesMonitoring,Data analysis
AVP- Data Science,,,,7-12,"Gurugram, Mumbai (All Areas)",7,Not disclosed,Data SciencepythonMachine LearningScienceAvpMachineData,"Data Science,python,Machine Learning"
Data Science Lead,,,,5-8 ,Pune,5,12-22 Lacs PA,Predictive ModelingStatistical ModelingLeadership SkillsModel DevelopmentPythonScienceStatisticsDevelopment,"Python,Statistics"
Senior Manager - Data Science,,,,1-6 ,Mumbai (All Areas),1,Not disclosed,Data ScienceETLPythonSenior managementDataSeniorManagementScience,"Data Science,Python"
Sr. Data Science Engineer,,,,4-6 ,Hybrid - Bengaluru,4,18-22.5 Lacs PA,NoSQL databaseR LanguageHadoopSparkPythonData ScienceScienceSR,"NoSQL,Python,Data Science"
Analyst-Data Science,,,,0-4 ,Gurugram,0,Not disclosed,Career developmentSASFinanceAnalyticalBillingMachine learningRisk managementAnalytics,"SAS,Machine learning"
Analyst-Data Science,AMERICAN EXPRESS,4.2,2828,0-4 ,Gurugram,0,Not disclosed,Career developmentSASFinanceAnalyticalBillingMachine learningRisk managementAnalytics,"SAS,Machine learning"
Program HEAD - DATA Science,,,,4-8 ,Mohali,4,Not disclosed,Data EngineeringProject ManagementLeadership Management,Data Engineer
Data Science Analytics Sr Analyst,Accenture,4.0,49777,5-8 ,Kolkata,5,Not disclosed,automation anywheremicrosoft azureproblem managementblue prismchange managementrpapythonnatural language processing,"automation,azure,python"
Data Science Analytics Sr Analyst,Accenture,4.0,49777,5-8 ,Bengaluru,5,Not disclosed,pythondata analysispresentation skillssqlsupply chain operationsadvanced analyticspredictive analyticsprocess optimization,"python,data analysis,sql,ai"
Data Science Engineer,,,,1-3 ,Bengaluru,1,Not disclosed,Data ScienceOpen-sourceagile processpythonproject managementdata analyticsAWS QuickSightscrum,"Data Science,python,data analytics"
Data Science Analytics Analyst,Accenture,4.0,49777,2-5 ,Gurugram,2,Not disclosed,advanced analyticsmathematicsdata sciencestatistical modelingbig datapythondata analysisdata analytics,"data science,big data,python,data analysis,data analytics"
S&C Global Network - AI - Hi Tech - Data Science Consultant,Accenture,4.0,49777,5-10,Gurugram,5,Not disclosed,erppythonnatural language processingplmcrmdata analyticsai solutionsmicrosoft azure,"python,data analytics,ai,azure"
Hiring - Analytics and Data Science Delivery Lead,Firstsource,3.7,4195,2-18,"Hybrid - Bengaluru, Mumbai (All Areas)",1,Not disclosed,Data Visualization.Natural Language ProcessingData ScienceDeep Learning FrameworksMachine Learning AlgorithmsPredictive ModelingLogistic RegressionArtificial Intelligence,"Visualization,Data Science,Deep Learning,Machine Learning,Artificial Intelligence"
